State/UT,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female,Total - Male,Total - Female
Andhra Pradesh,322,90,1017,131,1424,220,1329,231,1158,272,617,174,42,12,5909,1130
Arunachal Pradesh,4,1,18,7,16,6,11,3,3,4,0,0,0,0,52,21
Assam,188,51,634,100,614,112,535,68,221,30,39,14,23,0,2254,375
Bihar,467,174,1340,245,1447,261,1295,220,823,148,238,41,0,0,5610,1089
Chhattisgarh,185,51,919,90,1224,119,850,102,619,94,214,54,74,11,4085,521
Goa,6,2,39,6,65,4,46,3,25,6,17,4,0,0,198,25
Gujarat,207,81,1065,113,1570,209,1346,189,833,125,269,45,105,13,5395,775
Haryana,208,37,847,60,966,57,673,38,398,38,272,26,815,72,4179,328
Himachal Pradesh,33,21,182,12,223,12,153,15,118,32,66,26,0,0,775,118
Jammu and Kashmir,28,13,177,18,192,32,128,20,62,10,15,4,29,0,631,97
Jharkhand,193,0,569,63,747,58,661,55,253,48,129,8,236,24,2788,256
Karnataka,232,77,1947,188,2342,267,1997,251,1485,245,617,112,0,0,8620,1140
Kerala,57,30,389,17,414,27,349,57,655,158,598,147,65,16,2527,452
Madhya Pradesh,531,186,2095,311,2750,392,2116,344,1274,246,393,96,352,55,9511,1630
Maharashtra,205,63,1553,116,2979,302,3114,356,1954,281,464,112,64,6,10333,1236
Manipur,8,1,29,2,45,6,16,3,10,5,1,1,0,0,109,18
Meghalaya,9,3,26,5,52,3,23,1,15,1,6,0,0,0,131,13
Mizoram,8,1,7,2,7,0,6,1,2,3,4,1,0,0,34,8
Nagaland,4,0,15,3,12,0,12,1,3,0,0,0,1,2,47,6
Orissa,187,32,1006,90,1302,117,940,110,578,71,160,19,122,4,4295,443
Punjab,163,26,778,126,985,132,692,92,501,55,235,16,84,13,3438,460
Rajasthan,326,70,2181,226,2523,340,1852,234,1039,122,203,26,105,3,8229,1021
Sikkim,3,0,11,4,10,7,7,2,3,0,0,0,0,0,34,13
Tamil Nadu,284,101,1185,176,1534,265,1501,260,1424,301,771,207,45,5,6744,1315
Telangana,327,72,1073,153,1587,227,1450,181,1082,190,450,81,7,2,5976,906
Tripura,7,4,41,4,66,6,28,1,24,4,5,2,0,0,171,21
Uttarakhand,22,6,125,13,199,29,126,16,78,12,34,7,7,0,591,83
Uttar Pradesh,1063,199,4241,748,4269,612,3499,453,2141,276,757,104,678,109,16648,2501
West Bengal,203,76,732,56,1123,100,839,103,909,189,323,94,150,30,4279,648
Andaman and Nicobar Islands,2,0,4,0,4,1,1,1,1,0,0,0,0,0,12,2
Chandigarh,4,2,3,0,15,2,10,2,8,1,6,0,0,0,46,7
Dadra and Nagar Haveli,3,0,8,1,27,0,12,2,5,0,3,0,3,0,61,3
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Delhi,29,6,207,19,236,15,297,23,220,23,42,3,60,16,1091,105
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2,2,37,7,34,4,26,1,23,1,8,0,0,0,130,15
Total ,5520,1478,24500,3112,31003,3944,25940,3439,17947,2991,6956,1424,3067,393,114933,16781
