,Year,Passenger Cars,Utility Vehicles,Vans,Total Passenger Vehicles,MandHCVs,LCVs,Total CVs,Three Wheelers,Scooters,Motorcycles,Mopeds,Total Two Wheelers,Grand Total
0,2009,1970046.0,275563.0,151869.0,2397478.0,265369.0,312361.0,577730.0,613606.0,1492659.0,8444100.0,571489.0,10511009.0,14099823.0
1,2010,2430105.0,328001.0,215794.0,2973900.0,352060.0,400645.0,752705.0,795989.0,2126109.0,10500073.0,703713.0,13329895.0,17852489.0
2,2011,2532852.0,368993.0,236777.0,3138622.0,377711.0,524046.0,901757.0,875034.0,2653421.0,11944898.0,785942.0,15384261.0,20299674.0
3,2012,2440127.0,561921.0,239067.0,3241115.0,287282.0,585812.0,873094.0,841379.0,3014485.0,11952135.0,792069.0,15758689.0,20714277.0
4,2013,2338044.0,569272.0,192335.0,3099651.0,224431.0,485470.0,709901.0,833477.0,3696674.0,12463932.0,730172.0,16890778.0,21533807.0
5,2014,2418099.0,630723.0,174759.0,3223581.0,263407.0,437336.0,700743.0,939884.0,4701656.0,12995340.0,765182.0,18462178.0,23326386.0
6,2015,2557727.0,705317.0,179217.0,3442261.0,337594.0,451234.0,788828.0,942649.0,5289159.0,12911021.0,738547.0,18938727.0,24112465.0
7,2016,2705981.0,916255.0,184073.0,3806309.0,346286.0,476067.0,822353.0,783773.0,5897501.0,13121844.0,910670.0,19930015.0,25344006.0
8,2017,2174024.0,922322.0,192235.0,3288581.0,340781.0,516135.0,856916.0,635698.0,6719909.0,12620690.0,859518.0,20200117.0,24981312.0
9,2018,2218489.0,941474.0,217426.0,3377389.0,390732.0,616579.0,1007311.0,701005.0,6701430.0,13598190.0,880227.0,21179847.0,26266179.0
